,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,,How To Read:,,
M-Den,C D,C D,C D,C D,C D,C D,C D,,LETTERS:,,
LuigiMan.EXE,E,C,E,C,E,E,E,,"A,B,C,D,E,F",=,Indicates presence at standard meetup times.
Symes,E F,E F,E F,E F,E F,B C D E F,B C D E F,,A,=,6 AM PST
Dorman,D E,D E,D E,D E,D E,B C D E,B C D E,,B,=,9 AM PST
Nonstopmop,,,,,,,,,C,=,12 PM PST
Enduring Ray,D E F,D E F,D E F,,D E F,E F,D E F,,D,=,3 PM PST
Zeii,E,E,E,E,D E F,D E F,D E F,,E,=,6 PM PST
Rocku,,D,,,,D E,,,F,=,9 PM PST
playerzero,D,C D,C D,C D,D,A B C D,A B C D,,,,
Josue,C D E,C D E,C D E,C D E,C D E,C D E,C D,,,=,Notes contain detailed hours or conditions.
Maple,A B,B C,,,,,,,COLOR CODES:,,
Salad,,C D F,C D F,C D F,C D F,C D F,D E F,,,=,Mostly Available
HonorNite,B C D,B C D F,,,B C D,B C D F,B C D F,,,=,Somewhat Available
Master S1X,D E F,D E F,D E F,D E F,D E F,B C,B C,,,=,Unavailable
Thiago,D E F,D E F,D E F,D E F,D E F,D E F,D E F,,,,
Apples,C D E F,C D E F,C D E F,C D E F,C D E F,C D E F,C D E F,,TIME ZONE CONVERTER,,
Neryth,E F,E F,E F,E F,E F,E F,E F,,link,,
Django,,E F,E F,A B C D,,D E F,F,,,,
des,,,,,,,,,,,
Shadow,,,,,,,,,,,
!sadder,A B E,,B ,,A B,A B D E F,,,,,
trail,,,,,,,,,,,
