,MONDAY,TUESDAY,WEDNESDAY,THURSDAY,FRIDAY,SATURDAY,SUNDAY,,How To Read:,,
Nonstopmop,C D,C D,C D E,C D,C D E F,C D E F,C D,,LETTERS:,,
playerzero,D,C D,C D,C D,D,A B C D,A B C D,,"A,B,C,D,E,F",=,Indicates presence at standard meetup times.
Thiago,D E F,D E F,D E F,D E F,D E F,D E F,D E F,,A,=,6 AM PST
fireboltbro,A B C D E,A B C D E,D E F,,D E F,,,,B,=,9 AM PST
Rocku,D,D,D,D E,,D E,D,,C,=,12 PM PST
Wintegral,D E,D E,D E,D E,D E,A B C D E,A B C D E,,D,=,3 PM PST
BlueStar,,,,,,,,,E,=,6 PM PST
Dorman ,D E,D E,D E,D E,D E,B C D E,B C D E,,F,=,9 PM PST
Custer Bannon,D E,D E,D E,D E,D E,C D E,C D E,,,,
des,,,,,,,,,,=,Notes contain detailed hours or conditions.
ShironaNep,A B C F,A B C F,A B C F,A B C F,A B C F,A B C D E,A B C D E,,COLOR CODES:,,
Symes,B C D E F,E F,B C D E F,E F,B C D E F,B C D E F,B C D E F,,,=,Mostly Available
WeenieWhistle,E,E,E,E,E,E,E,,,=,Somewhat Available
HonorNite,B C D F,B C D F,,,B C D F,B C D F,B C D F,,,=,Unavailable
Alrysc,B C D E F,B C D E F,B C D E F,B C D E F,B C D E F,B C D E F,B C D E F,,,,
Master S1X,D E F,D E F,D E F,D E F,D E F,B C,B C,,TIME ZONE CONVERTER,,
ElKiras,,,,,,,,,link,,
Uvu,A B C,A B,A B,,,A B C,A B C,,,,
Chocola,,B C D E,B C D E,B C D E,B C D E,B C,B C D E,,,,
